job_id,job_title,company,location,job_description,experience,education,salary,job_type
27,React Developer,Tech Mahindra,Noida,We are hiring a React Developer. Required skills: React JavaScript HTML CSS Redux REST API. Experience: Fresher. Strong communication and problem-solving skills are preferred.,Fresher,BCA,5 LPA,Full-time
28,Cloud Engineer,HCLTech,Bengaluru,We are hiring a Cloud Engineer. Required skills: AWS Docker Kubernetes Linux CI/CD. Experience: 2 Years. Strong communication and problem-solving skills are preferred.,2 Years,B.Tech,8.5 LPA,Hybrid
29,Software Engineer,Cognizant,Pune,We are hiring a Software Engineer. Required skills: Java OOP SQL Git Agile Unit Testing. Experience: Fresher. Strong communication and problem-solving skills are preferred.,Fresher,B.E.,5.2 LPA,Full-time
30,Full Stack Developer,Infosys,Pune,We are hiring a Full Stack Developer. Required skills: Java Spring Boot React SQL REST APIs Git. Experience: 2 Years. Strong communication and problem-solving skills are preferred.,2 Years,B.Tech,8 LPA,Full-time
31,Data Analyst,Accenture,Hyderabad,We are hiring a Data Analyst. Required skills: SQL Excel Power BI Python Data Visualization. Experience: 1 Year. Strong communication and problem-solving skills are preferred.,1 Year,Graduate,5.5 LPA,Full-time
32,Cloud Engineer,HCLTech,Bengaluru,We are hiring a Cloud Engineer. Required skills: AWS Docker Kubernetes Linux CI/CD. Experience: 2 Years. Strong communication and problem-solving skills are preferred.,2 Years,B.Tech,8.5 LPA,Hybrid
33,Cloud Engineer,HCLTech,Bengaluru,We are hiring a Cloud Engineer. Required skills: AWS Docker Kubernetes Linux CI/CD. Experience: 2 Years. Strong communication and problem-solving skills are preferred.,2 Years,B.Tech,8.5 LPA,Hybrid
34,Backend Developer,LTIMindtree,Chennai,We are hiring a Backend Developer. Required skills: Java Spring Boot PostgreSQL Docker AWS. Experience: 3 Years. Strong communication and problem-solving skills are preferred.,3 Years,B.Tech,10 LPA,Remote
35,Python Developer,Wipro,Bengaluru,We are hiring a Python Developer. Required skills: Python Django Flask PostgreSQL Pandas APIs. Experience: 2 Years. Strong communication and problem-solving skills are preferred.,2 Years,B.Tech,7 LPA,Full-time
36,Data Analyst,Accenture,Hyderabad,We are hiring a Data Analyst. Required skills: SQL Excel Power BI Python Data Visualization. Experience: 1 Year. Strong communication and problem-solving skills are preferred.,1 Year,Graduate,5.5 LPA,Full-time
37,Data Analyst,Accenture,Hyderabad,We are hiring a Data Analyst. Required skills: SQL Excel Power BI Python Data Visualization. Experience: 1 Year. Strong communication and problem-solving skills are preferred.,1 Year,Graduate,5.5 LPA,Full-time
38,Business Analyst,Deloitte,Mumbai,We are hiring a Business Analyst. Required skills: SQL Power BI Excel Stakeholder Communication. Experience: 1 Year. Strong communication and problem-solving skills are preferred.,1 Year,MBA,7 LPA,Hybrid
39,AI/ML Engineer,Capgemini,Pune,We are hiring a AI/ML Engineer. Required skills: Python Scikit-learn TensorFlow NLP Machine Learning. Experience: 2 Years. Strong communication and problem-solving skills are preferred.,2 Years,B.Tech AI,9 LPA,Full-time
40,Java Developer,TCS,Mumbai,We are hiring a Java Developer. Required skills: Java Spring Boot Microservices Hibernate MySQL. Experience: 1 Year. Strong communication and problem-solving skills are preferred.,1 Year,B.E.,6 LPA,Full-time
41,Data Analyst,Accenture,Hyderabad,We are hiring a Data Analyst. Required skills: SQL Excel Power BI Python Data Visualization. Experience: 1 Year. Strong communication and problem-solving skills are preferred.,1 Year,Graduate,5.5 LPA,Full-time
42,Business Analyst,Deloitte,Mumbai,We are hiring a Business Analyst. Required skills: SQL Power BI Excel Stakeholder Communication. Experience: 1 Year. Strong communication and problem-solving skills are preferred.,1 Year,MBA,7 LPA,Hybrid
43,AI/ML Engineer,Capgemini,Pune,We are hiring a AI/ML Engineer. Required skills: Python Scikit-learn TensorFlow NLP Machine Learning. Experience: 2 Years. Strong communication and problem-solving skills are preferred.,2 Years,B.Tech AI,9 LPA,Full-time
44,Backend Developer,LTIMindtree,Chennai,We are hiring a Backend Developer. Required skills: Java Spring Boot PostgreSQL Docker AWS. Experience: 3 Years. Strong communication and problem-solving skills are preferred.,3 Years,B.Tech,10 LPA,Remote
45,Cloud Engineer,HCLTech,Bengaluru,We are hiring a Cloud Engineer. Required skills: AWS Docker Kubernetes Linux CI/CD. Experience: 2 Years. Strong communication and problem-solving skills are preferred.,2 Years,B.Tech,8.5 LPA,Hybrid
46,Cloud Engineer,HCLTech,Bengaluru,We are hiring a Cloud Engineer. Required skills: AWS Docker Kubernetes Linux CI/CD. Experience: 2 Years. Strong communication and problem-solving skills are preferred.,2 Years,B.Tech,8.5 LPA,Hybrid
47,Data Analyst,Accenture,Hyderabad,We are hiring a Data Analyst. Required skills: SQL Excel Power BI Python Data Visualization. Experience: 1 Year. Strong communication and problem-solving skills are preferred.,1 Year,Graduate,5.5 LPA,Full-time
48,Data Analyst,Accenture,Hyderabad,We are hiring a Data Analyst. Required skills: SQL Excel Power BI Python Data Visualization. Experience: 1 Year. Strong communication and problem-solving skills are preferred.,1 Year,Graduate,5.5 LPA,Full-time
49,AI/ML Engineer,Capgemini,Pune,We are hiring a AI/ML Engineer. Required skills: Python Scikit-learn TensorFlow NLP Machine Learning. Experience: 2 Years. Strong communication and problem-solving skills are preferred.,2 Years,B.Tech AI,9 LPA,Full-time
50,Backend Developer,LTIMindtree,Chennai,We are hiring a Backend Developer. Required skills: Java Spring Boot PostgreSQL Docker AWS. Experience: 3 Years. Strong communication and problem-solving skills are preferred.,3 Years,B.Tech,10 LPA,Remote
